ATOM x y z
1 0 0 0
2 1 0 0
3 2 0 0
4 3 0 0 
5 4 0 0
6 5 0 0
7 6 0 0
8 7 0 0
9 8 0 0
10 9 0 0
11 10 0 0
12 11 0 0
13 12 0 0
14 13 0 0
15 14 0 0
16 15 0 0
17 16 0 0
18 17 0 0
19 18 0 0
20 19 0 0
21 0 1 0
22 0 2 0
23 0 3 0
24 0 4 0
25 0 5 0
26 0 6 0
27 0 7 0
28 0 8 0
29 0 9 0
30 0 10 0
31 0 11 0
32 0 12 0
33 0 13 0
34 0 14 0
35 0 15 0
36 0 16 0
37 0 17 0
38 0 18 0
39 0 19 0
40 0 20 0
41 1 10 0
42 2 10 0
43 3 10 0 
44 4 10 0
45 5 10 0
46 6 10 0
47 7 10 0
48 8 10 0
49 9 10 0
50 10 10 0
51 11 10 0
52 12 10 0
53 13 10 0
54 14 10 0
55 15 10 0
56 16 10 0
57 17 10 0
58 18 10 0
59 19 10 0
60 20 10 0
61 10 1 0
62 10 2 0
63 10 3 0
64 10 4 0
65 10 5 0
66 10 6 0
67 10 7 0
68 10 8 0
69 10 9 0
70 10 11 0
71 10 12 0
72 10 13 0
73 10 14 0
74 10 15 0
75 10 16 0
76 10 17 0
77 10 18 0
78 10 19 0
79 10 20 0
80 20 0 0
81 20 1 0
82 20 2 0
83 20 3 0
84 20 4 0
85 20 5 0
86 20 6 0
87 20 7 0
88 20 8 0
89 20 9 0
90 20 11 0
91 20 12 0
92 20 13 0
93 20 14 0
94 20 15 0
95 20 16 0
96 20 17 0
97 20 18 0
98 20 19 0
99 20 20 0
100 1 20 0
101 2 20 0
102 3 20 0
103 4 20 0
104 5 20 0
105 6 20 0
106 7 20 0
107 8 20 0
108 9 20 0
109 11 20 0
110 12 20 0
111 13 20 0
112 14 20 0
113 15 20 0
114 16 20 0
115 17 20 0
116 18 20 0
117 19 20 0





